EventDate,EventTime,EventPlace,Magunitude,SeismicIntensity
2015/6/30,16時05分ごろ,父島近海,5.3,2
2015/7/24,10時53分ごろ,島根県東部,2.6,1
2015/7/24,7時30分ごろ,岩手県沖,3.3,1
2015/7/23,21時52分ごろ,福島県沖,4.8,1
2015/7/23,18時43分ごろ,浦河沖,4.4,2
2015/7/23,14時28分ごろ,静岡県東部,2.4,1
2015/7/23,3時49分ごろ,茨城県沖,4.2,2
2015/7/22,18時43分ごろ,熊本県熊本地方,2.7,1
2015/7/22,13時51分ごろ,八丈島東方沖,5.1,1
2015/7/22,13時44分ごろ,千葉県北西部,3,1
2015/7/22,5時21分ごろ,島根県西部,2.7,1
2015/7/21,18時17分ごろ,福島県沖,5,3
2015/7/21,15時27分ごろ,内浦湾,2.9,1
2015/7/21,13時30分ごろ,熊本県熊本地方,3.1,1
2015/7/21,5時46分ごろ,紀伊水道,3.8,2
2015/7/20,22時56分ごろ,新潟県中越地方,3.5,3
2015/7/20,22時55分ごろ,---,---,3
2015/7/20,13時25分ごろ,宮城県沖,4.2,1
2015/7/20,10時46分ごろ,大分県中部,2,1
2015/7/20,10時12分ごろ,青森県東方沖,3.1,2
2015/7/20,7時05分ごろ,千葉県北東部,3.2,1
2015/7/20,5時47分ごろ,茨城県北部,3.1,1
2015/7/19,14時20分ごろ,宮城県沖,3.5,1
2015/7/19,2時13分ごろ,大隅半島東方沖,4.6,3
2015/7/18,18時28分ごろ,日向灘,4,2
2015/7/18,11時28分ごろ,南太平洋,6.9,---
2015/7/17,18時32分ごろ,日向灘,3.9,2
2015/7/17,9時57分ごろ,日向灘,3.3,1
2015/7/17,2時15分ごろ,八丈島近海,4.2,2
2015/7/16,22時13分ごろ,岩手県内陸南部,3.4,2
2015/7/16,18時35分ごろ,八丈島近海,3.5,1
2015/7/16,18時22分ごろ,八丈島近海,3.8,1
2015/7/16,15時13分ごろ,八丈島近海,4.7,2
2015/7/16,14時39分ごろ,宮城県沖,4.1,3
2015/7/16,14時12分ごろ,与那国島近海,4.3,1
2015/7/16,10時15分ごろ,青森県東方沖,4.4,2
2015/7/16,10時15分ごろ,八丈島近海,4.5,1
2015/7/16,7時47分ごろ,宮古島近海,4,1
2015/7/16,6時14分ごろ,苫小牧沖,4,1
2015/7/16,3時00分ごろ,奄美大島近海,3.8,1
2015/7/15,22時17分ごろ,福島県沖,3.5,1
2015/7/15,19時02分ごろ,長野県北部,2.4,1
2015/7/15,17時08分ごろ,岩手県沖,4.1,1
2015/7/15,17時06分ごろ,八丈島近海,3.9,1
2015/7/15,17時01分ごろ,八丈島近海,4.6,1
2015/7/15,16時23分ごろ,八丈島近海,3.9,1
2015/7/15,16時18分ごろ,八丈島近海,3.9,1
2015/7/15,16時09分ごろ,八丈島近海,3.8,1
2015/8/5,20時56分ごろ,福島県沖,5.1,3
2015/8/5,18時36分ごろ,釧路沖,4.1,1
2015/8/5,11時34分ごろ,宮城県沖,3.4,1
2015/8/5,3時53分ごろ,千葉県東方沖,2.9,1
2015/8/5,1時58分ごろ,福島県沖,3.7,2
2015/8/5,0時51分ごろ,茨城県南部,3,1
2015/8/4,21時10分ごろ,茨城県沖,3.3,1
2015/8/4,13時39分ごろ,九州地方南東沖,4.6,1
2015/8/4,7時29分ごろ,日向灘,3.6,1
2015/8/4,5時13分ごろ,長野県南部,3.8,2
2015/7/10,13時13分ごろ,南太平洋,7,---
2015/7/10,9時40分ごろ,茨城県南部,3.7,2
2015/7/10,4時10分ごろ,青森県三八上北地方,2.9,1
2015/7/10,3時33分ごろ,岩手県沿岸北部,5.8,5弱
2015/7/10,1時15分ごろ,茨城県南部,4.4,4
2015/7/9,19時59分ごろ,宮城県沖,3.9,1
2015/7/9,17時27分ごろ,岩手県沖,5,3
2015/7/9,14時38分ごろ,岩手県沖,3.2,1
2015/7/9,8時38分ごろ,千葉県東方沖,4.1,2
2015/7/8,22時14分ごろ,宮城県沖,4.4,1
2015/7/8,18時47分ごろ,和歌山県北部,2.4,1
2015/7/8,13時23分ごろ,岩手県内陸北部,2.4,1
2015/7/8,8時43分ごろ,釧路沖,3,1
2015/7/7,16時11分ごろ,岩手県沖,4.2,1
2015/7/7,14時13分ごろ,---,---,3
2015/7/7,14時10分ごろ,北海道東方沖,6.2,3
2015/7/7,2時46分ごろ,長野県南部,2.4,1
2015/7/6,18時30分ごろ,茨城県南部,4.1,3
2015/7/6,18時24分ごろ,埼玉県南部,3.3,1
